	Domain	Phylum	Class	Subclass	Order	Suborder	Family	Genus
OTU865	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_subclass	Acidobacteria_Gp6_subclass_order	Acidobacteria_Gp6_subclass_order_suborder	Acidobacteria_Gp6_subclass_order_suborder_family	Gp6
OTU866	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Cytophagaceae	Hymenobacter
OTU867	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Coenonia
OTU868	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Methylocystaceae	Methylosinus
OTU869	Bacteria	Nitrospira	Nitrospira	Nitrospira_subclass	Nitrospirales	Nitrospirales_suborder	Nitrospiraceae	Nitrospira
OTU870	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Thiotrichales	Thiotrichales_suborder	Piscirickettsiaceae	Methylophaga
OTU871	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Capnocytophaga
OTU872	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Prevotellaceae	Prevotella
OTU873	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichia_subclass	Erysipelotrichales	Erysipelotrichales_suborder	Erysipelotrichaceae	Erysipelotrichaceae_incertae_sedis
OTU874	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU875	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_subclass	Acidobacteria_Gp6_subclass_order	Acidobacteria_Gp6_subclass_order_suborder	Acidobacteria_Gp6_subclass_order_suborder_family	Gp6
OTU876	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Prevotellaceae	Prevotella
OTU877	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Acetobacteraceae	Neokomagataea
OTU878	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Methylococcales	Methylococcales_suborder	Methylococcaceae	Methylothermus
OTU879	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Methylobacteriaceae	Methylobacterium
OTU880	Bacteria	Armatimonadetes	Armatimonadetes_class	Armatimonadetes_class_subclass	Armatimonadetes_class_subclass_order	Armatimonadetes_class_subclass_order_suborder	Armatimonadetes_class_subclass_order_suborder_family	Armatimonadetes_gp5
OTU881	Bacteria	Acidobacteria	Acidobacteria_Gp1	Acidobacteria_Gp1_subclass	Acidobacteria_Gp1_subclass_order	Acidobacteria_Gp1_subclass_order_suborder	Acidobacteria_Gp1_subclass_order_suborder_family	Gp1
OTU882	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Cryomorphaceae	Fluviicola
OTU883	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Acidimicrobineae_incertae_sedis	Aciditerrimonas
OTU884	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Myxococcales	Nannocystineae	Haliangiaceae	Haliangium
OTU885	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Mesoflavibacter
OTU886	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sphingomonadales	Sphingomonadales_suborder	Sphingomonadaceae	Sphingomonas
OTU887	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Ruminococcus
OTU888	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Chitinophagaceae	Flavihumibacter
OTU889	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Actinomycineae	Actinomycetaceae	Actinomyces
OTU890	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Acidimicrobiaceae	Ilumatobacter
OTU891	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XIII	Anaerovorax
OTU892	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Myxococcales	Sorangiineae	Phaselicystidaceae	Phaselicystis
OTU893	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Empedobacter
OTU894	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Burkholderiales_incertae_sedis	Sphaerotilus
OTU895	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Sporobacter
OTU896	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Odoribacter
OTU897	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Chitinophagaceae	Sediminibacterium
OTU898	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Desulfobacterales	Desulfobacterales_suborder	Desulfobacteraceae	Desulfatiferula
OTU899	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmata_subclass	Thermoplasmatales	Thermoplasmatales_suborder	Thermoplasmatales_incertae_sedis	Thermogymnomonas
OTU900	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Clostridium IV
OTU901	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Halomonadaceae	Salinicola
OTU902	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Rubrobacterales	Rubrobacterineae	Rubrobacteraceae	Rubrobacter
OTU903	Bacteria	Verrucomicrobia	Opitutae	Opitutae_subclass	Opitutales	Opitutales_suborder	Opitutaceae	Opitutus
OTU904	Bacteria	Deinococcus-Thermus	Deinococci	Deinococci_subclass	Deinococcales	Deinococcales_suborder	Deinococcaceae	Deinococcus
OTU905	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Thermomonas
OTU906	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Gemmata
OTU907	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Hyphomicrobium
OTU908	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Macromonas
OTU909	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Nocardiaceae	Millisia
OTU910	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Marinilabiaceae	Anaerophaga
OTU911	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Enterobacteriales	Enterobacteriales_suborder	Enterobacteriaceae	Obesumbacterium
OTU912	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Chromatiales	Chromatiales_suborder	Chromatiaceae	Nitrosococcus
OTU913	Bacteria	Acidobacteria	Acidobacteria_Gp4	Acidobacteria_Gp4_subclass	Acidobacteria_Gp4_subclass_order	Acidobacteria_Gp4_subclass_order_suborder	Acidobacteria_Gp4_subclass_order_suborder_family	Gp4
OTU914	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Bacillaceae 2	Oceanobacillus
OTU915	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XIII	Anaerovorax
OTU916	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Moraxella
OTU917	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Enterococcaceae	Enterococcus
OTU918	Bacteria	Deferribacteres	Deferribacteres	Deferribacteres_subclass	Deferribacterales	Deferribacterales_suborder	Deferribacteraceae	Denitrovibrio
OTU919	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Carnobacteriaceae	Alkalibacterium
OTU920	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Saccharofermentans
OTU921	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Prevotellaceae	Prevotella
OTU922	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Coprococcus
OTU923	Bacteria	Verrucomicrobia	Opitutae	Opitutae_subclass	Opitutales	Opitutales_suborder	Opitutaceae	Alterococcus
OTU924	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Simkaniaceae	Simkania
OTU925	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Dietziaceae	Dietzia
OTU926	Bacteria	Verrucomicrobia	Subdivision5	Subdivision5_subclass	Subdivision5_subclass_order	Subdivision5_subclass_order_suborder	Subdivision5_subclass_order_suborder_family	Subdivision5_genera_incertae_sedis
OTU927	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium
OTU928	Bacteria	Firmicutes	Negativicutes	Negativicutes_subclass	Selenomonadales	Selenomonadales_suborder	Veillonellaceae	Anaerosinus
OTU929	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Nocardioidaceae	Nocardioides
OTU930	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Burkholderiales_incertae_sedis	Thiobacter
OTU931	Bacteria	Verrucomicrobia	Subdivision5	Subdivision5_subclass	Subdivision5_subclass_order	Subdivision5_subclass_order_suborder	Subdivision5_subclass_order_suborder_family	Subdivision5_genera_incertae_sedis
OTU932	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU933	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Roseburia
OTU934	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lachnospiracea_incertae_sedis
OTU935	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Gemmiger
OTU936	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lactonifactor
OTU937	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Amaricoccus
OTU938	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiaceae 2	Alkaliphilus
OTU939	Bacteria	Fusobacteria	Fusobacteria	Fusobacteria_subclass	Fusobacteriales	Fusobacteriales_suborder	Leptotrichiaceae	Leptotrichia
OTU940	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Rudaea
OTU941	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Myxococcales	Sorangiineae	Polyangiaceae	Byssovorax
OTU942	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Bacillaceae 2	Natronobacillus
OTU943	Bacteria	Chloroflexi	Chloroflexi	Chloroflexi_subclass	Herpetosiphonales	Herpetosiphonales_suborder	Herpetosiphonaceae	Herpetosiphon
OTU944	Bacteria	Acidobacteria	Acidobacteria_Gp10	Acidobacteria_Gp10_subclass	Acidobacteria_Gp10_subclass_order	Acidobacteria_Gp10_subclass_order_suborder	Acidobacteria_Gp10_subclass_order_suborder_family	Gp10
OTU945	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rickettsiales	Rickettsiales_suborder	Anaplasmataceae	Anaplasma
OTU946	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Chitinophagaceae	Sediminibacterium
OTU947	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Paludibacter
OTU948	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Cyanobacteria_subclass	Cyanobacteria_subclass_order	Cyanobacteria_subclass_order_suborder	Family I	GpI
OTU949	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Propionibacteriaceae	Aestuariimicrobium
OTU950	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Ethanoligenens
OTU951	Bacteria	Proteobacteria	Epsilonproteobacteria	Epsilonproteobacteria_subclass	Nautiliales	Nautiliales_suborder	Nautiliaceae	Thioreductor
OTU952	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Macromonas
OTU953	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Oscillibacter
OTU954	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichia_subclass	Erysipelotrichales	Erysipelotrichales_suborder	Erysipelotrichaceae	Turicibacter
OTU955	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Clostridium XlVa
OTU956	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Flammeovirgaceae	Cesiribacter
OTU957	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU958	Bacteria	Chloroflexi	Caldilineae	Caldilineae_subclass	Caldilineales	Caldilineales_suborder	Caldilineaceae	Caldilinea
OTU959	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU960	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Robinsoniella
OTU961	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiaceae 1	Anaerosporobacter
OTU962	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Xanthobacteraceae	Xanthobacter
OTU963	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Marinilabiaceae	Anaerophaga
OTU964	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Actinomycineae	Actinomycetaceae	Mobiluncus
OTU965	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Singulisphaera
OTU966	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichia_subclass	Erysipelotrichales	Erysipelotrichales_suborder	Erysipelotrichaceae	Bulleidia
OTU967	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lachnospiracea_incertae_sedis
OTU968	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Parachlamydiaceae	Neochlamydia
OTU969	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Geodermatophilaceae	Geodermatophilus
OTU970	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Barnesiella
OTU971	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Microbacteriaceae	Amnibacterium
OTU972	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Prevotellaceae	Prevotella
OTU973	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lachnospiracea_incertae_sedis
OTU974	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Acidimicrobineae_incertae_sedis	Aciditerrimonas
OTU975	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Desulfuromonadales	Desulfuromonadales_suborder	Geobacteraceae	Geothermobacter
OTU976	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU977	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Paenibacillaceae 2	Oxalophagus
OTU978	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Lactobacillaceae	Lactobacillus
OTU979	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Methylobacteriaceae	Methylobacterium
OTU980	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Oleiphilaceae	Oleiphilus
OTU981	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast_subclass	Chloroplast_subclass_order	Chloroplast_subclass_order_suborder	Chloroplast	Streptophyta
OTU982	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Kiloniellales	Kiloniellales_suborder	Kiloniellaceae	Kiloniella
OTU983	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Gracilibacteraceae	Lutispora
OTU984	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Caulobacteraceae	Phenylobacterium
OTU985	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Aurantimonadaceae	Aurantimonas
OTU986	Bacteria	Actinobacteria	Actinobacteria	Coriobacteridae	Coriobacteriales	Coriobacterineae	Coriobacteriaceae	Collinsella
OTU987	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Nocardioidaceae	Nocardioides
OTU988	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Rhodospirillaceae	Pelagibius
OTU989	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Hydrogenoanaerobacterium
OTU990	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Barnesiella
OTU991	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Lysobacter
OTU992	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Gracilibacteraceae	Gracilibacter
OTU993	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Coprococcus
OTU994	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Rhodospirillaceae	Caenispirillum
OTU995	Bacteria	Acidobacteria	Acidobacteria_Gp1	Acidobacteria_Gp1_subclass	Acidobacteria_Gp1_subclass_order	Acidobacteria_Gp1_subclass_order_suborder	Acidobacteria_Gp1_subclass_order_suborder_family	Granulicella
OTU996	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Ruminococcus
OTU997	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Promicromonosporaceae	Isoptericola
OTU998	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae_subclass	Anaerolineales	Anaerolineales_suborder	Anaerolineaceae	Bellilinea
OTU999	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Rhodoplanes
OTU1000	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Barnesiella
OTU1001	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Porphyromonas
OTU1002	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Nocardioidaceae	Nocardioides
OTU1003	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Paludibacter
OTU1004	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Lysobacter
OTU1005	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Clostridium XlVa
OTU1006	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Oribacterium
OTU1007	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Hyphomonadaceae	Woodsholea
OTU1008	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sphingomonadales	Sphingomonadales_suborder	Sphingomonadaceae	Sandarakinorhabdus
OTU1009	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Clostridium XlVa
OTU1010	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Chitinophagaceae	Chitinophaga
OTU1011	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Oceanospirillaceae	Marinomonas
OTU1012	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU1013	Bacteria	Actinobacteria	Actinobacteria	Coriobacteridae	Coriobacteriales	Coriobacterineae	Coriobacteriaceae	Olsenella
OTU1014	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Clostridium IV
OTU1015	Bacteria	Deferribacteres	Deferribacteres	Deferribacteres_subclass	Deferribacterales	Deferribacterales_suborder	Deferribacteraceae	Calditerrivibrio
OTU1016	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmata_subclass	Thermoplasmatales	Thermoplasmatales_suborder	Ferroplasmaceae	Ferroplasma
OTU1017	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lachnospiracea_incertae_sedis
OTU1018	Bacteria	Firmicutes	Negativicutes	Negativicutes_subclass	Selenomonadales	Selenomonadales_suborder	Veillonellaceae	Selenomonas
OTU1019	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Lachnospiracea_incertae_sedis
OTU1020	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Pasteuriaceae	Pasteuria
OTU1021	Bacteria	Firmicutes	Negativicutes	Negativicutes_subclass	Selenomonadales	Selenomonadales_suborder	Veillonellaceae	Megamonas
OTU1022	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Streptococcaceae	Streptococcus
OTU1023	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sphingomonadales	Sphingomonadales_suborder	Sphingomonadaceae	Sphingomonas
OTU1024	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Oscillibacter
OTU1025	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichia_subclass	Erysipelotrichales	Erysipelotrichales_suborder	Erysipelotrichaceae	Coprobacillus
OTU1026	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Bacillaceae 2	Gracilibacillus
OTU1027	Bacteria	Deferribacteres	Deferribacteres	Deferribacteres_subclass	Deferribacterales	Deferribacterales_suborder	Deferribacteraceae	Calditerrivibrio
OTU1028	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Beijerinckiaceae	Beijerinckia
OTU1029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Paludibacter
OTU1030	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU1031	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Thermoleophilales	Thermoleophilales_suborder	Thermoleophilaceae	Thermoleophilum
OTU1032	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Blautia
OTU1033	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Ruminococcaceae	Clostridium IV
OTU1034	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Bacteroidaceae	Bacteroides
OTU1035	Bacteria	Acidobacteria	Acidobacteria_Gp17	Acidobacteria_Gp17_subclass	Acidobacteria_Gp17_subclass_order	Acidobacteria_Gp17_subclass_order_suborder	Acidobacteria_Gp17_subclass_order_suborder_family	Gp17
OTU1036	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Porphyromonadaceae	Barnesiella
OTU1037	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XII	Guggenheimella
OTU1038	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Eubacteriaceae	Eubacterium
